ID;Year;Default;WC/TA;RE/TA;EBIT/TA;ME/TL;S/TA
13;2002;0;0,11;0,47;0,05;1,92;0,19
13;2003;0;0,09;0,46;0,04;1,83;0,19
13;2004;0;0,09;0,46;0,05;2,24;0,23
14;2002;0;0,16;0,32;0,06;0,73;0,51
15;1999;0;0,02;0,24;0,04;0,77;0,27
15;2000;0;0,07;0,19;0,01;0,49;0,23
15;2001;0;0,09;0,16;-0,01;0,40;0,19
15;2002;0;0,11;0,09;0,02;0,29;0,21
15;2003;0;0,06;0,11;0,03;0,31;0,22
15;2004;0;0,11;0,09;0,02;0,37;0,24
16;1999;0;0,06;0,12;0,06;1,68;0,15
16;2000;0;0,05;0,13;0,09;1,46;0,20
16;2001;0;0,03;0,18;0,05;1,11;0,12
17;1999;0;0,29;0,51;0,07;1,98;0,47
17;2000;0;0,31;0,49;0,06;2,05;0,47
17;2001;0;0,36;0,51;0,07;2,68;0,45
17;2002;0;0,32;0,51;0,08;3,22;0,43
17;2003;0;0,38;0,54;0,06;3,89;0,41
17;2004;0;0,31;0,58;0,07;5,31;0,45
18;1999;0;0,07;0,35;0,07;1,32;0,67
18;2000;0;0,09;0,37;0,07;1,16;0,63
18;2001;0;0,09;0,37;0,06;1,19;0,60
18;2002;0;0,09;0,34;0,06;0,84;0,64
18;2003;0;0,07;0,36;0,06;0,89;0,59
18;2004;0;0,01;0,30;0,06;0,69;0,63
19;1999;0;0,14;0,46;0,05;2,11;0,22
19;2000;0;0,07;0,26;0,04;1,21;0,19
19;2001;0;0,05;0,26;0,04;1,35;0,21
19;2002;0;0,09;0,26;0,05;1,08;0,21
19;2003;0;0,09;0,16;0,04;0,84;0,13
19;2004;0;0,03;0,15;0,04;0,83;0,24
20;1999;0;0,05;0,10;0,06;0,40;0,27
20;2000;0;0,07;0,11;0,04;0,14;0,25
20;2001;0;0,07;0,10;0,05;0,25;0,24
20;2002;0;0,10;0,10;0,03;0,28;0,21
20;2003;0;0,08;0,13;0,03;0,23;0,20
20;2004;0;0,20;0,20;0,04;0,66;0,29
21;1995;0;0,34;0,23;0,03;2,27;0,30
21;1996;1;0,36;0,06;0,03;3,20;0,28
22;2000;0;-0,05;0,14;0,06;0,94;0,18
22;2001;0;-0,12;0,12;0,04;0,58;0,20
22;2002;0;-0,40;0,07;0,00;0,14;0,09
22;2003;0;0,05;0,03;0,04;0,20;0,09
22;2004;0;0,05;-0,03;0,06;0,40;0,12
23;1999;0;0,12;0,45;0,06;3,08;0,29
23;2000;0;0,18;0,44;0,07;2,49;0,29
23;2001;0;0,17;0,42;0,05;1,87;0,26
23;2002;0;0,15;0,32;0,05;1,09;0,24
23;2003;0;0,18;0,37;0,05;1,58;0,26
23;2004;0;0,17;0,38;0,05;1,57;0,25
24;1995;0;0,07;0,30;0,06;1,81;0,17
24;1996;0;0,05;0,34;0,07;1,83;0,18
24;1997;0;0,03;0,36;0,08;2,24;0,24
24;1998;0;0,01;0,26;0,07;2,71;0,20
24;1999;0;0,03;0,30;0,08;3,97;0,18
24;2000;0;0,05;0,35;0,06;2,80;0,18
24;2001;0;0,06;0,39;0,07;2,74;0,18
24;2002;0;0,03;0,32;0,07;1,55;0,14
24;2003;0;0,04;0,39;0,04;1,54;0,14
24;2004;0;0,04;0,43;0,06;1,91;0,16
25;1999;0;0,15;0,35;0,06;2,86;0,27
25;2000;0;0,03;0,24;0,07;1,45;0,22
25;2001;0;0,09;0,25;0,02;1,73;0,21
25;2002;0;0,09;0,23;0,04;1,00;0,20
25;2003;0;0,09;0,26;0,05;1,71;0,19
25;2004;0;0,07;0,29;0,03;1,45;0,22
26;1999;0;0,19;0,02;0,04;3,10;0,12
26;2000;0;0,42;0,11;0,05;7,44;0,11
27;1999;0;0,06;0,31;0,07;1,13;0,32
27;2000;0;0,09;0,32;0,07;1,04;0,39
27;2001;0;0,04;0,27;0,04;0,56;0,21
27;2002;0;0,04;0,28;0,05;0,57;0,26
27;2003;0;0,08;0,29;0,03;0,57;0,30
27;2004;0;0,01;0,25;0,05;0,74;0,31
28;1999;0;0,07;0,69;0,07;1,52;0,24
28;2000;0;0,08;0,70;0,06;1,32;0,27
28;2001;0;0,17;0,80;0,06;1,87;0,28
28;2002;0;0,10;0,78;0,06;2,02;0,27
28;2003;0;0,04;0,67;0,06;2,22;0,24
28;2004;0;0,12;0,72;0,07;2,42;0,26
29;2000;0;-0,07;0,08;0,03;0,34;0,22
29;2001;0;-0,09;0,09;0,03;0,39;0,08
29;2002;0;-0,08;0,05;0,03;0,36;0,11
29;2003;0;0,00;0,06;0,05;0,46;0,14
29;2004;0;0,01;0,09;0,04;0,57;0,13
30;1999;0;0,25;0,56;0,08;0,84;0,27
30;2000;0;0,06;0,46;0,05;0,49;0,27
30;2001;0;0,17;0,42;0,06;0,50;0,26
30;2002;0;0,24;0,48;0,06;0,56;0,24
30;2003;0;0,34;0,56;0,04;1,18;0,26
30;2004;0;0,33;0,58;0,04;1,43;0,21
31;1999;0;0,13;0,12;0,07;2,92;0,15
31;2000;0;0,07;-0,03;0,06;4,59;0,20
31;2001;0;0,13;0,01;0,07;4,30;0,19
31;2002;0;0,27;0,14;0,07;2,82;0,18
31;2003;0;0,24;0,15;0,05;2,62;0,17
31;2004;0;0,20;0,17;0,07;2,42;0,17
32;1998;0;0,30;-0,20;0,04;0,83;0,14
32;1999;0;0,41;-0,10;0,07;0,87;0,18
32;2000;0;0,41;-0,02;0,03;0,84;0,14
32;2001;0;0,55;0,04;0,10;0,98;0,20
32;2002;0;0,64;0,09;0,07;1,20;0,20
32;2003;0;0,46;0,20;0,10;4,67;0,24
33;1999;0;-0,04;0,13;0,05;1,81;0,13
33;2000;0;-0,11;0,06;0,05;0,50;0,09
33;2001;0;0,02;0,01;0,03;0,59;0,11
33;2002;0;0,10;-0,27;0,04;0,51;0,19
33;2003;0;0,06;-0,27;0,04;0,50;0,20
33;2004;0;0,04;-0,60;0,05;0,62;0,24
34;1999;0;0,17;0,08;0,10;0,48;0,69
34;2000;1;0,08;-0,04;-0,02;0,14;0,70
35;1995;0;0,10;0,22;0,07;1,43;0,41
35;1996;0;0,14;0,28;0,07;1,81;0,39
35;1997;0;0,15;0,33;0,05;2,28;0,41
35;1998;0;0,09;0,31;0,05;1,40;0,32
35;1999;0;0,02;0,35;0,08;1,13;0,34
35;2000;0;0,04;0,38;0,07;1,48;0,32
35;2001;0;0,06;0,37;0,06;1,54;0,27
35;2002;0;0,12;0,44;0,08;2,11;0,27
35;2003;0;0,10;0,46;0,06;2,37;0,26
35;2004;0;0,16;0,47;0,08;3,23;0,27
36;1995;0;0,39;0,35;0,12;20,76;0,24
36;1996;0;0,34;0,35;0,13;20,53;0,25
36;1997;0;0,28;0,33;0,11;14,44;0,22
36;1998;0;0,29;0,27;0,12;24,01;0,24
36;1999;0;0,32;0,26;0,12;58,24;0,27
36;2000;0;0,41;0,29;0,10;60,61;0,20
36;2001;0;0,47;0,29;0,09;48,17;0,20
36;2002;0;0,24;-0,01;0,06;10,10;0,11
36;2003;0;0,24;0,00;0,06;11,77;0,12
36;2004;0;0,20;-0,05;0,07;8,59;0,14
37;1999;0;0,45;0,55;0,07;15,43;0,23
37;2000;0;0,59;0,43;0,10;11,06;0,21
37;2001;0;0,62;0,45;0,03;6,76;0,12
37;2002;0;0,66;0,46;0,04;4,74;0,13
37;2003;0;0,61;0,65;0,06;20,25;0,18
38;1999;0;0,00;0,73;0,05;3,81;0,23
38;2000;0;0,02;0,80;0,07;4,63;0,24
38;2001;0;0,01;0,82;0,07;4,10;0,25
38;2002;0;0,02;0,86;0,06;3,76;0,25
38;2003;0;0,02;0,93;0,06;3,63;0,25
38;2004;0;0,01;0,92;0,07;2,98;0,24
39;1999;0;0,03;0,13;0,06;1,52;0,10
39;2000;0;0,05;0,20;0,09;2,33;0,14
39;2001;0;0,05;0,16;0,04;1,54;0,09
39;2002;0;0,05;0,17;0,06;1,84;0,11
39;2003;0;0,04;0,22;0,07;2,26;0,12
39;2004;0;0,03;0,27;0,08;2,30;0,13
40;1999;0;0,55;0,34;0,03;4,98;0,28
40;2000;0;0,53;0,39;0,04;3,12;0,29
40;2001;0;0,62;0,39;0,05;2,62;0,27
40;2002;0;0,62;0,39;0,04;2,39;0,26
40;2003;0;0,55;0,38;0,03;2,92;0,28
41;1995;0;0,53;0,38;0,11;7,63;0,34
41;1996;0;0,51;0,47;0,07;3,79;0,28
41;1997;0;0,49;0,44;0,07;5,78;0,27
41;1998;0;0,52;0,50;0,05;7,07;0,17
41;1999;0;0,54;0,49;0,09;14,38;0,28
41;2000;0;0,60;0,51;0,12;12,56;0,31
41;2001;0;0,68;0,61;0,04;12,56;0,17
41;2002;0;0,67;0,60;0,03;11,27;0,17
41;2003;0;0,67;0,60;0,04;17,32;0,16
41;2004;0;0,68;0,63;0,08;9,69;0,21
42;1999;0;0,08;0,27;0,05;1,03;0,14
42;2000;0;0,23;1,15;0,06;0,36;0,36
42;2001;0;0,06;1,43;0,09;0,37;0,37
42;2002;0;0,09;1,64;0,09;1,34;0,44
42;2003;0;0,11;1,43;0,08;1,65;0,44
42;2004;0;0,19;1,32;0,08;2,32;0,47
43;1999;0;0,17;0,15;0,04;1,19;0,25
43;2000;0;0,16;0,12;0,03;0,74;0,37
43;2001;0;0,19;0,11;0,04;1,06;0,40
43;2002;0;0,19;0,10;0,04;0,99;0,48
43;2003;0;0,21;0,12;0,05;0,86;0,50
43;2004;0;0,22;0,14;0,06;0,95;0,53
44;1999;0;-0,03;0,08;0,08;0,49;0,64
44;2000;0;-0,04;0,16;0,08;0,75;0,57
44;2001;0;0,00;0,24;0,04;1,85;0,49
44;2002;0;0,05;0,23;0,06;1,64;0,53
44;2003;0;0,02;0,31;0,06;2,66;0,59
44;2004;0;0,07;0,34;0,07;3,36;0,60
45;1999;0;0,09;0,26;0,05;0,41;0,20
45;2000;0;0,19;0,28;0,02;0,06;0,21
45;2001;0;0,22;0,28;0,03;0,07;0,20
46;1999;0;0,44;0,28;0,05;0,86;0,57
46;2000;0;0,45;0,21;0,07;0,51;0,53
46;2001;0;0,48;0,26;0,04;0,85;0,41
46;2002;0;0,43;0,18;0,03;0,40;0,45
46;2003;0;0,43;0,21;0,05;0,64;0,50
46;2004;0;0,45;0,27;0,04;0,88;0,52
47;1999;0;0,09;0,19;0,05;0,55;0,42
48;1999;0;0,13;0,29;0,04;0,60;0,33
48;2000;0;0,10;0,26;0,04;0,52;0,34
48;2001;0;0,13;0,29;0,04;0,60;0,34
48;2002;0;0,10;0,29;0,05;0,44;0,33
48;2003;0;0,12;0,28;0,02;0,50;0,32
48;2004;0;0,10;0,32;0,03;0,86;0,35
49;1997;0;0,07;0,11;0,04;0,85;0,12
49;1998;0;0,03;0,11;0,04;0,85;0,14
49;1999;0;0,00;0,12;0,04;0,73;0,13
49;2000;0;-0,06;0,14;0,03;0,81;0,11
49;2001;0;-0,07;0,11;0,06;0,45;0,10
49;2002;0;-0,09;0,09;0,05;0,48;0,10
49;2003;0;-0,05;0,10;0,04;0,64;0,10
49;2004;0;0,04;0,11;0,06;0,62;0,14
50;1999;0;-0,02;0,31;0,06;1,62;0,17
51;1999;0;0,20;0,65;0,09;15,01;0,28
51;2000;0;0,13;0,27;0,05;2,77;0,13
51;2001;0;0,11;0,31;0,04;2,36;0,14
51;2002;0;0,12;0,35;0,05;2,08;0,12
51;2003;0;0,13;0,37;0,05;1,44;0,13
51;2004;0;0,06;0,38;0,06;1,61;0,13
52;1999;0;0,09;0,51;0,08;4,65;0,38
52;2000;0;0,10;0,53;0,06;3,30;0,38
52;2001;0;0,04;0,54;0,06;3,32;0,35
52;2002;0;0,00;0,42;0,06;2,61;0,33
52;2003;0;0,02;0,44;0,06;2,26;0,33
52;2004;0;0,08;0,46;0,05;2,35;0,37
53;1999;0;0,54;0,53;0,05;1,06;0,59
53;2000;0;0,40;0,33;0,07;0,82;0,54
53;2001;0;0,24;0,32;0,05;0,77;0,46
53;2002;0;0,44;0,27;0,03;0,94;0,49
53;2003;0;0,42;0,27;0,04;0,60;0,53
53;2004;0;0,41;0,29;0,03;0,98;0,57
54;1999;0;-0,11;0,22;0,12;2,75;0,64
54;2000;0;0,11;0,29;0,13;3,76;0,62
54;2001;0;0,17;0,31;0,13;3,39;0,57
54;2002;0;0,05;0,30;0,12;3,71;0,60
54;2003;0;0,22;0,44;0,14;5,04;0,62
54;2004;0;0,27;0,51;0,12;5,75;0,58
55;1999;0;0,05;0,36;0,07;2,24;0,23
55;2000;0;0,01;0,37;0,06;1,47;0,20
55;2001;0;0,04;0,41;0,03;1,73;0,24
55;2002;0;0,03;0,28;0,05;1,36;0,23
55;2003;0;0,02;0,27;0,05;1,35;0,24
55;2004;0;0,06;0,30;0,05;1,58;0,24
56;1999;0;0,22;0,01;0,03;1,78;0,21
56;2000;0;0,26;-0,02;0,06;4,07;0,24
56;2002;0;0,27;0,03;0,05;3,64;0,23
56;2003;0;0,21;0,02;0,06;3,68;0,25
56;2004;0;0,28;0,09;0,07;4,92;0,28
57;1999;0;0,10;0,19;0,06;0,59;0,33
57;2000;0;0,15;0,22;0,07;0,69;0,35
57;2001;0;0,13;0,19;0,05;1,10;0,39
57;2002;0;0,07;0,14;0,05;0,82;0,24
57;2003;0;0,05;0,22;0,05;1,07;0,32
57;2004;0;0,10;0,25;0,05;1,50;0,31
58;1999;0;-0,01;0,18;0,04;0,69;0,11
58;2000;0;0,02;0,17;0,05;0,77;0,11
58;2001;0;-0,09;0,16;0,00;0,45;0,09
58;2002;0;0,09;0,15;0,03;0,48;0,12
58;2003;0;0,08;0,14;0,04;0,60;0,18
58;2004;0;0,08;0,16;0,06;0,64;0,21
59;1998;0;0,33;0,13;0,00;0,81;0,30
60;1999;0;0,20;0,23;0,04;0,52;0,17
60;2000;0;0,20;0,22;0,03;0,16;0,16
60;2001;0;0,20;0,20;0,04;0,23;0,17
60;2002;0;0,20;0,10;0,02;0,13;0,06
61;1997;0;0,21;0,38;0,06;2,64;0,28
61;1998;0;0,20;0,43;0,07;5,21;0,28
61;1999;0;0,20;0,42;0,06;4,96;0,27
61;2000;0;0,32;0,43;0,07;5,02;0,29
61;2001;0;0,37;0,46;0,08;7,49;0,28
61;2002;0;0,36;0,44;0,09;5,62;0,25
61;2003;0;0,31;0,44;0,07;6,55;0,24
61;2004;0;0,37;0,48;0,07;10,35;0,23
62;1997;0;0,03;0,21;0,05;2,10;0,20
62;1998;0;0,03;0,12;-0,16;1,55;0,29
62;1999;0;0,06;0,13;0,02;1,87;0,34
62;2000;0;0,05;0,13;0,06;2,27;0,48
63;1997;0;0,09;0,26;0,04;7,08;0,12
63;1998;0;0,12;0,30;0,04;6,94;0,11
63;1999;0;0,11;0,30;0,04;5,88;0,10
63;2000;0;0,14;0,10;0,07;4,32;0,11
63;2001;0;0,13;-0,14;0,03;4,28;0,12
63;2002;0;0,20;-0,11;0,04;4,36;0,14
63;2003;0;0,23;-0,10;0,04;6,53;0,13
63;2004;0;0,29;-0,06;0,05;4,79;0,11
64;1999;0;0,38;0,42;0,07;1,95;0,17
64;2000;0;0,29;0,46;0,04;1,07;0,18
64;2001;0;0,27;0,43;0,04;1,03;0,18
64;2002;0;0,19;0,46;0,05;1,06;0,19
64;2003;0;0,21;0,52;0,06;1,54;0,21
64;2004;0;0,21;0,58;0,05;2,18;0,23
65;1999;0;0,15;0,14;0,08;2,93;0,22
65;2000;0;0,07;0,06;0,06;4,28;0,25
65;2001;0;0,10;0,09;0,07;4,86;0,24
65;2002;0;0,12;0,05;0,08;1,77;0,21
65;2003;0;0,14;0,10;0,07;1,82;0,22
65;2004;0;0,15;0,09;0,06;2,06;0,21
66;1999;0;0,12;0,56;0,07;2,65;0,23
66;2000;0;0,11;0,59;0,06;2,66;0,24
66;2001;0;0,13;0,60;0,07;3,90;0,24
66;2002;0;0,15;0,64;0,06;2,88;0,24
66;2003;0;0,26;0,69;0,06;3,46;0,23
66;2004;0;0,32;0,74;0,06;4,85;0,25
67;1999;0;-0,01;0,07;0,07;2,07;0,25
68;1999;0;0,03;0,25;0,05;4,42;0,15
68;2000;0;-0,06;0,06;0,03;1,09;0,13
68;2001;0;-0,07;0,06;0,05;0,82;0,12
68;2002;0;-0,03;-0,13;0,06;1,01;0,17
68;2003;0;-0,01;-0,11;0,05;1,07;0,17
68;2004;0;-0,01;-0,12;0,05;1,10;0,19
69;1999;0;-0,11;0,29;0,08;3,11;0,18
69;2000;0;-0,10;0,30;0,06;2,27;0,13
69;2001;0;-0,02;0,32;0,08;2,17;0,15
69;2002;0;0,00;0,33;0,06;1,54;0,15
69;2003;0;0,04;0,34;0,07;1,78;0,14
69;2004;0;-0,06;0,34;0,06;1,42;0,12
70;1999;0;0,05;0,11;0,05;0,76;0,13
70;2000;0;0,07;0,13;0,06;0,63;0,14
70;2001;0;0,06;0,11;0,05;0,87;0,12
70;2002;0;0,07;0,13;0,06;1,13;0,13
70;2003;0;0,05;0,15;0,05;1,61;0,15
70;2004;0;0,05;0,18;0,06;1,53;0,15
71;1999;0;0,25;0,52;0,07;2,29;0,35
71;2000;0;0,11;0,44;0,06;1,68;0,33
71;2001;0;0,21;0,49;0,07;2,53;0,31
71;2002;0;0,21;0,45;0,06;2,05;0,31
71;2003;0;0,23;0,52;0,05;2,32;0,31
71;2004;0;0,23;0,55;0,06;2,69;0,32
72;1999;0;0,16;0,11;0,04;0,36;1,01
72;2000;0;0,27;-0,03;0,05;0,44;1,32
73;1999;0;0,19;0,30;0,12;5,90;1,47
73;2000;0;0,08;0,30;0,09;2,85;1,16
73;2001;0;0,16;0,27;0,12;2,95;0,98
73;2002;0;0,18;0,27;0,10;1,93;0,94
73;2003;0;0,17;0,32;0,13;3,34;1,00
73;2004;0;0,21;0,38;0,11;3,06;0,94
74;1999;0;0,06;-0,12;0,02;0,31;0,22
74;2000;1;0,07;-0,13;0,00;0,08;0,19
75;1999;0;0,09;-0,04;0,03;0,37;0,34
75;2000;0;-0,02;-0,06;0,03;0,67;0,38
75;2001;0;0,06;-0,27;0,06;0,68;0,43
75;2003;0;0,11;-0,39;0,06;0,85;0,37
75;2004;0;0,16;-0,36;0,06;0,94;0,41
76;1996;0;0,03;-0,11;0,05;0,98;0,08
76;1997;1;0,07;-0,23;-0,13;0,83;0,09
77;1996;0;0,38;0,05;0,02;0,27;0,21
77;1997;0;0,30;-0,06;0,04;0,13;0,25
77;1998;1;0,24;-0,20;0,02;0,05;0,23
78;1999;0;0,29;0,33;0,06;0,67;0,32
78;2000;0;0,31;0,37;0,06;1,03;0,30
78;2001;0;0,38;0,39;0,09;2,01;0,37
78;2002;0;0,38;0,52;0,08;2,98;0,37
78;2003;0;0,47;0,48;0,06;3,02;0,29
78;2004;0;0,46;0,43;0,05;1,88;0,26
79;1999;0;0,12;0,00;0,08;1,44;0,37
79;2000;0;0,12;0,05;0,06;0,99;0,33
79;2001;0;0,24;0,07;0,05;0,94;0,33
79;2002;0;0,21;0,03;0,07;1,01;0,32
79;2003;0;0,24;0,10;0,06;1,16;0,35
79;2004;0;0,25;0,18;0,07;1,83;0,33
80;1999;0;0,00;0,27;0,04;1,07;0,35
80;2000;0;-0,10;0,17;0,07;1,02;0,47
80;2001;0;-0,19;0,19;0,03;0,81;0,09
80;2002;0;-0,10;0,18;0,05;0,52;0,17
80;2003;0;0,14;0,17;0,03;0,75;0,17
81;1999;0;0,10;0,30;0,03;4,29;0,07
81;2000;0;0,11;0,31;0,05;6,08;0,11
81;2001;0;0,16;0,37;0,05;3,81;0,10
81;2002;0;0,09;0,30;0,05;4,03;0,08
81;2003;0;0,14;0,32;0,04;3,75;0,08
81;2004;0;0,11;0,33;0,06;4,23;0,08
82;1999;0;0,10;0,32;0,06;1,60;0,45
82;2000;0;-0,04;0,31;0,07;1,92;0,36
82;2001;0;-0,07;0,32;0,05;0,84;0,35
82;2002;0;-0,03;0,24;0,04;0,61;0,28
82;2003;0;0,01;0,22;0,06;0,79;0,28
82;2004;0;-0,10;0,28;0,02;1,04;0,30
83;1999;0;0,11;0,22;0,05;0,69;0,38
83;2000;0;0,14;0,23;0,04;0,59;0,38
83;2001;0;0,03;0,19;0,05;0,63;0,39
83;2002;0;0,09;0,15;0,04;0,48;0,39
83;2003;0;0,09;0,13;0,04;0,73;0,36
83;2004;0;0,21;0,16;0,03;0,62;0,40
84;1995;0;0,02;0,06;0,07;0,39;0,53
84;1996;0;0,03;0,07;0,06;0,36;0,61
84;1997;0;0,03;0,09;0,05;0,73;0,53
84;1998;0;0,25;0,20;0,07;1,35;0,83
84;1999;0;0,17;0,26;0,06;0,71;1,08
85;1999;0;0,00;0,10;0,06;0,70;0,14
85;2000;0;-0,01;0,09;0,06;0,58;0,16
85;2001;0;-0,09;0,09;0,04;0,62;0,17
85;2002;0;-0,03;0,09;0,04;0,53;0,13
85;2003;0;-0,05;0,09;0,06;0,54;0,14
85;2004;0;0,00;0,10;0,04;0,54;0,13
86;1999;0;0,05;0,18;0,05;1,04;0,15
86;2000;0;-0,04;0,18;0,04;0,90;0,16
86;2001;0;0,01;0,17;0,03;0,72;0,15
86;2002;0;0,04;0,13;0,02;0,62;0,15
86;2003;0;0,06;0,09;0,01;0,67;0,17
86;2004;0;0,09;0,07;0,03;0,64;0,18
87;1996;0;0,37;0,14;0,08;1,20;0,49
87;1997;0;0,33;0,16;0,04;0,88;0,48
88;1997;0;0,27;0,62;0,09;2,61;0,49
88;1998;0;0,23;0,69;0,08;1,93;0,51
88;1999;0;0,23;0,73;0,10;2,67;0,54
88;2000;0;0,21;0,79;0,08;1,49;0,45
88;2001;0;0,32;0,61;0,05;1,08;0,29
88;2002;0;0,33;0,60;0,08;0,95;0,37
88;2003;0;0,37;0,60;0,07;1,17;0,37
88;2004;0;0,44;0,61;0,08;2,44;0,35
89;1999;0;0,26;0,86;0,10;15,07;0,30
89;2000;0;0,27;0,98;0,09;17,25;0,31
89;2001;0;0,11;0,67;0,07;5,30;0,20
89;2002;0;0,10;0,74;0,07;2,85;0,23
89;2003;0;0,19;0,70;0,07;3,16;0,23
89;2004;0;0,18;0,66;0,06;2,49;0,20
90;2001;0;0,00;0,13;0,04;0,24;0,12
90;2002;0;-0,02;0,08;0,04;0,25;0,14
90;2003;0;-0,03;0,07;0,05;0,37;0,15
90;2004;0;0,08;0,09;0,05;0,56;0,16
91;1999;0;0,45;0,23;0,04;0,49;0,60
91;2000;0;0,39;0,23;0,05;0,64;0,57
91;2001;0;0,36;0,24;0,04;0,65;0,63
91;2002;0;0,38;0,29;0,05;1,15;0,66
91;2003;0;0,44;0,35;0,05;1,85;0,63
91;2004;0;0,36;0,34;0,05;1,19;0,60
92;2003;0;0,03;0,10;0,05;1,99;0,11
93;1995;0;0,17;0,46;0,05;1,97;0,77
93;1996;0;0,03;0,36;0,07;0,38;0,97
93;1997;1;0,04;0,21;0,03;0,09;1,02
94;1999;0;0,18;0,39;0,05;1,01;0,28
94;2000;0;0,20;0,32;0,05;0,66;0,29
94;2001;0;0,20;0,37;0,02;0,96;0,26
94;2002;0;0,22;0,32;0,04;0,80;0,30
94;2003;0;0,21;0,34;0,04;1,31;0,33
94;2004;0;0,22;0,34;0,04;1,84;0,34
95;1995;0;0,41;0,69;0,04;2,14;0,28
95;1996;0;0,40;0,69;0,05;1,97;0,28
95;1997;0;0,28;0,69;0,06;2,76;0,32
95;1998;0;0,29;0,61;0,03;1,61;0,27
95;1999;0;0,32;0,59;0,05;1,38;0,31
95;2000;0;0,36;0,56;0,05;1,50;0,36
95;2001;0;0,35;0,56;-0,01;1,17;0,25
96;1999;0;0,26;-0,02;0,04;0,22;0,25
96;2000;0;0,32;-0,44;0,02;0,09;0,35
97;1996;0;-0,02;0,08;0,05;0,98;0,14
97;1997;0;-0,01;0,13;0,04;1,03;0,12
97;1998;0;-0,02;0,16;0,07;1,12;0,14
97;1999;0;-0,02;0,20;0,06;0,74;0,14
97;2000;0;-0,01;0,21;0,06;0,70;0,13
